|Numero AU|Data protocollo|ID pratica|Tipologia di intervento|Comune|Provincia|CF|IN|ID
0|1|2025-01-03|00722810744-11122024-1529|Ampliamento|BRINDISI|BR|00722810744|2024-12-11|1529
1|2|2025-01-03|06238000639-09102024-1141|Ampliamento|PIGNATARO MAGGIORE|CE|06238000639|2024-10-09|1141
2|3|2025-01-09|02185370695-08082024-1853|Ampliamento|CASOLI|CH|02185370695|2024-08-08|1853
3|4|2025-01-03|07927860721-06112024-1027|Ampliamento|MONOPOLI|BA|07927860721|2024-11-06|1027
4|5|2025-01-03|08052024-1843|Ampliamento|ANDRIA|BT||2024-05-08|1843
5|6|2025-01-03|03529190633-24102024-1610|Ampliamento|SOMMA VESUVIANA|NA|03529190633|2024-10-24|1610
6|7|2025-01-03|02868350659-30092024-1840|Ampliamento|BATTIPAGLIA|SA|02868350659|2024-09-30|1840
7|8|2025-01-03|93135780729-10062024-0946|Ristrutturazione|CASAMASSIMA|BA|93135780729|2024-06-10|0946
8|9|2025-01-03|93135780729-06062024-1504|Ristrutturazione|CASAMASSIMA|BA|93135780729|2024-06-06|1504
9|10|2025-01-03|07839400723-05042024-0826|Nuovo insediamento|ANDRIA|BT|07839400723|2024-04-05|0826
10|11|2025-01-03|05921230727-17072024-1708|Ampliamento|ANDRIA|BT|05921230727|2024-07-17|1708
11|12|2025-01-03|11459900962-10092024-1448|Ristrutturazione - Opere accessorie|COMITINI|AG|11459900962|2024-09-10|1448
12|13|2025-01-03|08481860727-19112024-172|Nuovo insediamento|ANDRIA|BT|08481860727|2024-11-19|172
13|14|2025-01-03|02139870766-25102024-1417|Ampliamento|ACERRA|NA|02139870766|2024-10-25|1417
14|15|2025-01-08|03435060102-08112024-1323|Ampliamento|NAPOLI|NA|03435060102|2024-11-08|1323
15|16|2025-01-08|05110870820-28102024-1616|Ristrutturazione - Opere accessorie|TRAPANI|TR|05110870820|2024-10-28|1616
16|17|2025-01-09|02349000741-14102024-1622|Ampliamento|FRANCAVILLA FONTANA|BR|02349000741|2024-10-14|1622
17|18|2025-01-08|05215760876-14072024-1734|Ampliamento|CATANIA|CT|05215760876|2024-07-14|1734
18|19|2025-01-08|00307810846-24072024-1345|Ampliamento|CASTELTERMINI|AG|00307810846|2024-07-24|1345
19|20|2025-01-08|05786470632-02012025-1945|Ampliamento|ARZANO|NA|05786470632|2025-01-02|1945
20|21|2025-01-08|03422050637-28112024-1742|Nuovo insediamento|NOLA|NA|03422050637|2024-11-28|1742
21|22|2025-01-10|02546130739-24102024-1949|Ampliamento|FASANO|BR|02546130739|2024-10-24|1949
22|23|2025-01-10|4112024-1019|Ampliamento|SANTERAMO IN COLLE|BA||2024-11-04|1019
23|24|2025-01-09|08884361216-23102024-1529|Ampliamento|ACERRA|NA|08884361216|2024-10-23|1529
24|25|2025-01-13|05702850651-27092024-1650|Nuovo insediamento|PALOMONTE|SA|05702850651|2024-09-27|1650
25|26|2025-01-13|02388450641-18102024-1706|Nuovo insediamento|ACERRA|NA|02388450641|2024-10-18|1706
26|27|2025-01-20|15102024-1702|Ampliamento|FOSSACESIA|CH||2024-10-15|1702
27|28|2025-01-17|12245181008-08112024-1651|Ampliamento|PRESENZANO|CE|12245181008|2024-11-08|1651
28|29|2025-01-17|04787550658-07082024-1203|Ampliamento|SCAFATI|SA|04787550658|2024-08-07|1203
29|30|2025-01-17|09542490967-04042024-0955|Nuovo insediamento|BRINDISI|BR|09542490967|2024-04-04|0955
30|31|2025-01-17|08775500724-13112024-1312|Ristrutturazione|PUTIGNANO|BA|08775500724|2024-11-13|1312
31|32|2025-01-17|04728830615-20112023-1745|Nuovo insediamento|MARCIANISE|CE|04728830615|2023-11-20|1745
32|33|2025-01-17|00937370948-16092024-1630|Ampliamento|PESCOLANCIANO|IS|00937370948|2024-09-16|1630
33|34|2025-01-17|00856120894-02122024-1235|Nuovo insediamento|PALAZZOLO ACREIDE|SR|00856120894|2024-12-02|1235
34|37|2025-01-17|03115940789-03072024-1617|Ampliamento|DIAMANTE|CS|03115940789|2024-07-03|1617
35|38|2025-01-20|00218500924-18102024-1147|Ristrutturazione - Opere accessorie|SANTA GIUSTA|OR|00218500924|2024-10-18|1147
36|39|2025-01-22|02734140698-28112023-1813|Trasformazione|CHIETI|CH|02734140698|2023-11-28|1813
37|40|2025-01-22|00296230733-20032024-1846|Ampliamento|TARANTO|TA|00296230733|2024-03-20|1846
38|41|2025-01-21|02492470816-14072023-0944|Nuovo insediamento|TRAPANI|TP|02492470816|2023-07-14|0944
39|42|2025-01-22|03262240637-08112024-2128|Ristrutturazione|CASALNUOVO DI NAPOLI|NA|03262240637|2024-11-08|2128
40|43|2025-01-22|06408730726-15032024-1214|Ampliamento|CORATO|BA|06408730726|2024-03-15|1214
41|44|2025-01-21|02614580906-10012025-1642|Ristrutturazione - Opere accessorie|ALGHERO|SS|02614580906|2025-01-10|1642
42|45|2025-01-22|04097270724-02112024-1519|Ampliamento|NOCI|BA|04097270724|2024-11-02|1519
43|49|2025-01-24|08910750721-05112024-1102|Nuovo insediamento|MATERA|MT|08910750721|2024-11-05|1102
44|50|2025-01-24|06426190721-12032024-1218|Ristrutturazione - Opere accessorie|MATERA|MT|06426190721|2024-03-12|1218
